TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_REL,CONTROLLER_1_EULER_REL,CONTROLLER_2_POS_REL,CONTROLLER_2_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB,NARRATIVE_EVENTS,SELECTABLE_ITEMS_SELECTED,NIGEL_LOOK_AT,NIGEL_LOOK_AWAY,BACKPACK_LOOK_AT,BACKPACK_LOOK_AWAY
2017-04-21-12-08-52-060000,"[-0.03093743324279785, 1.0953718423843384, -0.16348910331726074]","[92.25086975097656, 7.291136264801025, 1.6429944038391113]","[0.2769848108291626, 0.6321390867233276, 0.17183685302734375]","[71.11393737792969, -35.22294616699219, -8.014849662780762]","[0.3679410219192505, 0.582023024559021, -0.48896950483322144]","[88.53945922851562, 2.1331567764282227, -1.823966145515442]","[-0.17183685302734375, 0.6321390867233276, 0.2769848108291626]","[-18.886064529418945, -35.22294616699219, -8.014849662780762]","[0.48896950483322144, 0.582023024559021, 0.3679410219192505]","[-1.4605441093444824, 2.1331567764282227, -1.823966145515442]",,,,,,
2017-04-21-12-08-52-160000,"[-0.0307694673538208, 1.0955246686935425, -0.16340219974517822]","[92.16960144042969, 7.28262996673584, 1.5999339818954468]","[0.27708911895751953, 0.6321293115615845, 0.17172420024871826]","[71.08604431152344, -35.20404815673828, -7.995901107788086]","[0.3685271739959717, 0.5818674564361572, -0.4883996248245239]","[88.36442565917969, 2.3691859245300293, -2.195791721343994]","[-0.17172420024871826, 0.6321293115615845, 0.27708911895751953]","[-18.913955688476562, -35.20404815673828, -7.995901107788086]","[0.4883996248245239, 0.5818674564361572, 0.3685271739959717]","[-1.6355713605880737, 2.3691859245300293, -2.195791721343994]",hand_pref_visible_on,,,,,
2017-04-21-12-08-52-308000,"[-0.0311201810836792, 1.0955123901367188, -0.163385808467865]","[92.14694213867188, 7.264280319213867, 1.6093764305114746]","[0.27691197395324707, 0.6323829889297485, 0.1717747449874878]","[71.05213928222656, -35.24475860595703, -7.963747024536133]","[0.36812448501586914, 0.5824266672134399, -0.4881308078765869]","[88.07017517089844, 2.1281654834747314, -2.4193928241729736]","[-0.1717747449874878, 0.6323829889297485, 0.27691197395324707]","[-18.94786262512207, -35.24475860595703, -7.963747024536133]","[0.4881308078765869, 0.5824266672134399, 0.36812448501586914]","[-1.9298256635665894, 2.1281654834747314, -2.4193928241729736]",,,,,,
2017-04-21-12-08-52-554000,"[-0.036311984062194824, 1.1079952716827393, -0.15713399648666382]","[89.40111541748047, 0.6597949862480164, 1.9960142374038696]","[0.27709758281707764, 0.6321662664413452, 0.17201030254364014]","[71.07508850097656, -35.17949295043945, -8.035579681396484]","[0.36380815505981445, 0.6108331680297852, -0.5062916278839111]","[93.6564712524414, -8.864147186279297, -5.2193474769592285]","[-0.17201030254364014, 0.6321662664413452, 0.27709758281707764]","[-18.924907684326172, -35.17949295043945, -8.035579681396484]","[0.5062916278839111, 0.6108331680297852, 0.36380815505981445]","[3.656473398208618, -8.864147186279297, -5.2193474769592285]",,,,,,
2017-04-21-12-08-52-799000,"[-0.06957852840423584, 1.1372489929199219, -0.14351201057434082]","[81.1043930053711, -16.170080184936523, 4.2410759925842285]","[0.2773590087890625, 0.6316260099411011, 0.17095565795898438]","[71.39822387695312, -35.02290344238281, -8.324332237243652]","[0.292657732963562, 0.6485185623168945, -0.5658897161483765]","[114.31537628173828, -29.910572052001953, -12.154437065124512]","[-0.17095565795898438, 0.6316260099411011, 0.2773590087890625]","[-18.601774215698242, -35.02290344238281, -8.324332237243652]","[0.5658897161483765, 0.6485185623168945, 0.292657732963562]","[24.31537437438965, -29.910572052001953, -12.154437065124512]",,,,,,
2017-04-21-12-08-53-045000,"[-0.09656417369842529, 1.146873116493225, -0.1392328143119812]","[80.30980682373047, -24.299182891845703, 6.121738910675049]","[0.27715885639190674, 0.6323292255401611, 0.17183446884155273]","[71.18050384521484, -35.20539474487305, -7.844574928283691]","[0.2879908084869385, 0.6342666149139404, -0.5784091949462891]","[116.18145751953125, -23.35464096069336, -17.468746185302734]","[-0.17183446884155273, 0.6323292255401611, 0.27715885639190674]","[-18.819494247436523, -35.20539474487305, -7.844574928283691]","[0.5784091949462891, 0.6342666149139404, 0.2879908084869385]","[26.181453704833984, -23.35464096069336, -17.468746185302734]",,,,,,
2017-04-21-12-08-53-291000,"[-0.09559595584869385, 1.1466937065124512, -0.14192354679107666]","[81.9430160522461, -24.250564575195312, 5.0970139503479]","[0.27699077129364014, 0.6325235366821289, 0.17155981063842773]","[71.33104705810547, -35.24374008178711, -7.922101020812988]","[0.2881956100463867, 0.6396322250366211, -0.5628494024276733]","[112.86162567138672, -26.92811393737793, -8.740781784057617]","[-0.17155981063842773, 0.6325235366821289, 0.27699077129364014]","[-18.668954849243164, -35.24374008178711, -7.922101020812988]","[0.5628494024276733, 0.6396322250366211, 0.2881956100463867]","[22.86162757873535, -26.92811393737793, -8.740781784057617]",,,,,,
2017-04-21-12-08-53-537000,"[-0.09444260597229004, 1.1463756561279297, -0.14346933364868164]","[81.21994018554688, -24.06241798400879, 5.142345428466797]","[0.2770271301269531, 0.6327569484710693, 0.17084968090057373]","[71.45248413085938, -35.28218460083008, -8.265666961669922]","[0.28797709941864014, 0.6390397548675537, -0.5652810335159302]","[113.46879577636719, -26.65076446533203, -9.552238464355469]","[-0.17084968090057373, 0.6327569484710693, 0.2770271301269531]","[-18.547513961791992, -35.28218460083008, -8.265666961669922]","[0.5652810335159302, 0.6390397548675537, 0.28797709941864014]","[23.468793869018555, -26.65076446533203, -9.552238464355469]",,,,,,
2017-04-21-12-08-53-782000,"[-0.09247720241546631, 1.1454136371612549, -0.14376914501190186]","[82.08447265625, -23.52207374572754, 4.8160319328308105]","[0.2770822048187256, 0.6328462362289429, 0.17119085788726807]","[71.42884063720703, -35.29804992675781, -8.164149284362793]","[0.2947894334793091, 0.6368204355239868, -0.538060188293457]","[105.17454528808594, -28.138912200927734, 5.006687164306641]","[-0.17119085788726807, 0.6328462362289429, 0.2770822048187256]","[-18.571163177490234, -35.29804992675781, -8.164149284362793]","[0.538060188293457, 0.6368204355239868, 0.2947894334793091]","[15.174545288085938, -28.138912200927734, 5.006687164306641]",,,,,,
2017-04-21-12-08-54-030000,"[-0.08954513072967529, 1.1441972255706787, -0.14459645748138428]","[83.03970336914062, -22.73975944519043, 4.620187282562256]","[0.27719032764434814, 0.6327821016311646, 0.17109084129333496]","[71.44244384765625, -35.34296417236328, -8.179717063903809]","[0.29641568660736084, 0.6348522901535034, -0.5395539999008179]","[105.25714874267578, -27.00320053100586, 4.269213676452637]","[-0.17109084129333496, 0.6327821016311646, 0.27719032764434814]","[-18.55755615234375, -35.34296417236328, -8.179717063903809]","[0.5395539999008179, 0.6348522901535034, 0.29641568660736084]","[15.257148742675781, -27.00320053100586, 4.269213676452637]",,,,,,
